run_id,iteration,layer1_units,layer2_units,dropout_rate,learning_rate,batch_size,epochs,accuracy,precision,recall,f1_score,roc_auc,log_loss,final_val_loss,final_val_accuracy,epochs_trained
32f0c84db80c4090a16e354fdbb559c4,11,128,128,0.2,0.001,64,50,0.9135254988913526,0.822429906542056,0.8148148148148148,0.8186046511627907,0.9494115106360005,0.26132640803315166,0.3212074339389801,0.9058171510696411,22
ab4d9994499f4dc1bf7d08fac6824dbd,18,256,64,0.2,0.0001,32,100,0.9135254988913526,0.822429906542056,0.8148148148148148,0.8186046511627907,0.9481427491631573,0.24837188168265875,0.24716150760650635,0.9002770185470581,52
a819ec32e1ab4771bcdab2a69e889b37,6,256,128,0.3,0.001,16,100,0.9068736141906873,0.8,0.8148148148148148,0.8073394495412844,0.9457941906921499,0.2811971068177529,0.28530123829841614,0.9141274094581604,17
bac13205b4e0404f80bf3bc0b11f977a,3,128,128,0.4,0.001,16,50,0.9113082039911308,0.8469387755102041,0.7685185185185185,0.8058252427184466,0.9554583738257207,0.2473685420713116,0.33941084146499634,0.9058171510696411,21
7de89ab0ac6745078055c34806ade1d6,2,64,128,0.3,0.0001,16,50,0.9046563192904656,0.7981651376146789,0.8055555555555556,0.8018433179723502,0.9558902926249865,0.22749498490160724,0.24199989438056946,0.8947368264198303,50
27909b79831440718ff97861134f9086,17,256,64,0.4,0.001,64,50,0.9024390243902439,0.7857142857142857,0.8148148148148148,0.8,0.9526778965554475,0.2501601429141712,0.2719338536262512,0.9168975353240967,22
ee83bdd407004a0a8c1d21e77f18e0bd,12,64,64,0.2,0.0001,32,100,0.9024390243902439,0.7909090909090909,0.8055555555555556,0.7981651376146789,0.9500863837598531,0.24995829922813262,0.2479683756828308,0.8975069522857666,92
06fb3a78105240dd9a961aa6741e097f,14,256,32,0.4,0.0001,64,50,0.9046563192904656,0.8095238095238095,0.7870370370370371,0.7981220657276995,0.9405031854011446,0.2660408369815876,0.2625269591808319,0.8891966938972473,50
0270edc77b504da1a53c7fb6bdcdd54f,1,128,128,0.2,0.0001,64,100,0.9046563192904656,0.8095238095238095,0.7870370370370371,0.7981220657276995,0.9474948709642588,0.25544170319823123,0.2666754126548767,0.9058171510696411,97
f87202296f2841adb58c49b894312da0,15,64,32,0.2,0.0001,64,100,0.9068736141906873,0.83,0.7685185185185185,0.7980769230769231,0.9484126984126984,0.2451270365069121,0.27874934673309326,0.8919667601585388,100
d6768b095b67427391fbce523471a44e,5,256,64,0.4,0.001,16,100,0.9024390243902439,0.8018867924528302,0.7870370370370371,0.794392523364486,0.9568621099233344,0.23062937044277132,0.32802537083625793,0.9030470848083496,17
f1e7b5f199b84bafb37adb426347774a,10,128,64,0.2,0.001,16,100,0.9046563192904656,0.8217821782178217,0.7685185185185185,0.7942583732057417,0.9503023431594859,0.24302605391692178,0.2992653548717499,0.9002770185470581,15
dc3b3870e14b40e9b1405b7cf8808c7f,8,256,128,0.2,0.0001,32,50,0.9024390243902439,0.8137254901960784,0.7685185185185185,0.7904761904761904,0.9403952057013282,0.262334041500766,0.23622213304042816,0.9030470848083496,44
5c80dba5c02a41fe91c1e1b949552367,13,256,32,0.3,0.001,64,50,0.9024390243902439,0.8137254901960784,0.7685185185185185,0.7904761904761904,0.9500863837598532,0.2512087241672528,0.2506638467311859,0.9030470848083496,19
91be0bdb27c64fcfaca18f1cc2a7f3a6,7,64,128,0.3,0.0001,32,50,0.9024390243902439,0.8137254901960784,0.7685185185185185,0.7904761904761904,0.9437965662455459,0.2583342661916954,0.2581135630607605,0.8836565017700195,50
20a619afa766412c8f834b5187eb0eca,16,64,32,0.2,0.0001,32,100,0.9002217294900222,0.8,0.7777777777777778,0.7887323943661971,0.9517600691070078,0.2435154156282282,0.26656287908554077,0.8919667601585388,85
490fde22a51248de855ba8e9049587d8,9,128,64,0.3,0.0001,64,100,0.8980044345898004,0.7870370370370371,0.7870370370370371,0.7870370370370371,0.9538386783284741,0.23400245649911935,0.2575167119503021,0.8947368264198303,99
743b870c639149e5bec35f50be8138dc,20,128,32,0.4,0.0001,32,100,0.8980044345898004,0.7924528301886793,0.7777777777777778,0.7850467289719626,0.9504373177842566,0.24293764367149667,0.2561275362968445,0.8919667601585388,100
c8bff27cb9c4409e83830b97bced5200,4,128,32,0.4,0.001,32,50,0.893569844789357,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9503563330093943,0.24642031167837677,0.28245607018470764,0.8919667601585388,23
70603463b2034e3986af441b289dffb3,19,64,64,0.3,0.0001,64,100,0.8913525498891353,0.780952380952381,0.7592592592592593,0.7699530516431925,0.940125256451787,0.2669992431152904,0.25495991110801697,0.8947368264198303,100
