id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,calendar_last_scraped,number_of_reviews,availability_eoy,estimated_occupancy_l365d,review_scores_rating,review_scores_communication,review_scores_location,instant_bookable,calculated_host_listings_count,amenities_number,number_of_private_bathrooms,number_of_shared_bathrooms,estimated_response_time_hours
815685,1439258,within an hour,1.0,0.99,0,88,1,1,Bukit Merah,Central Region,1.29065,103.80941,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Paid washer \u2013 In unit"", ""Paid dryer \u2013 In unit"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""TV"", ""Smart lock"", ""Hot water"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Dedicated workspace"", ""Self check-in"", ""Kitchen"", ""Hot water kettle""]",67.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,0,2025-09-28,16,0,0,4.13,4.44,4.25,1,49,28,0.0,2.0,1.0
833289,4360831,within a few hours,0.7979322638146167,0.7049006010171058,0,3,1,1,Bukit Merah,Central Region,1.27716,103.82299,Private room in condo,Private room,2,1.0,1 private bath,1.0,2.0,"[""Host greets you""]",172.0,730,1125,730.0,730.0,1125.0,1125.0,730.0,1125.0,365,2025-09-28,2,95,0,5.0,5.0,5.0,0,1,1,1.0,0.0,14.3373440285205
881253,2413412,within a few hours,0.89,0.67,0,182,1,1,Outram,Central Region,1.28485,103.84317,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Keypad"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Private living room"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""TV with standard cable"", ""Stove"", ""Essentials"", ""Self check-in"", ""Kitchen""]",76.0,92,1124,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,2025-09-28,3,92,0,4.0,4.67,4.67,1,91,30,1.0,0.0,12.0
904378,4837194,within a day,1.0,0.0,0,2,1,1,River Valley,Central Region,1.30046,103.82786,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Host greets you"", ""Sun loungers"", ""Private patio or balcony"", ""Piano"", ""Coffee"", ""Outdoor kitchen"", ""Bikes"", ""Dishes and silverware"", ""Freezer"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Free parking on premises"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Outdoor shower"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Breakfast"", ""Other gas stove"", ""Free street parking"", ""Dining table"", ""Shared outdoor pool - available all year, open 24 hours, lap pool"", ""Coffee maker"", ""Elevator"", ""Iron"", ""Shower gel"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Hangers"", ""City skyline view"", ""Toaster"", ""Long term stays allowed"", ""Pool view"", ""Resort view"", ""Heating"", ""Books and reading material"", ""Blender"", ""Barbecue utensils"", ""Body soap"", ""Extra pillows and blankets"", ""TV"", ""BBQ grill"", ""Hot water"", ""Ethernet connection"", ""Bed linens"", ""Microwave"", ""Board games"", ""Pets allowed"", ""Clothing storage: closet and dresser"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Outdoor furniture"", ""Stainless steel single oven"", ""Cleaning available during stay"", ""Wine glasses"", ""Conditioner"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Rice maker"", ""Hot water kettle"", ""Baking sheet"", ""Room-darkening shades"", ""Shampoo"", ""Outdoor dining area""]",222.0,92,120,92.0,92.0,120.0,120.0,92.0,120.0,347,2025-09-28,34,77,0,4.71,4.94,4.76,0,1,67,1.0,0.0,24.0
962594,2413412,within a few hours,0.89,0.67,0,182,1,1,Kallang,Central Region,1.30663,103.86243,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Single level home"", ""Private entrance"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Keypad"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Extra pillows and blankets"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""TV with standard cable"", ""Stove"", ""Essentials"", ""Pool"", ""Self check-in"", ""Kitchen""]",82.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,362,2025-09-28,2,92,0,5.0,5.0,5.0,1,91,30,1.0,0.0,12.0
982909,4723385,within a few hours,0.7979322638146167,0.0,0,1,1,1,Novena,Central Region,1.33389,103.83454,Private room in condo,Private room,1,1.0,1 private bath,1.0,1.0,"[""Host greets you"", ""Oven"", ""Private patio or balcony"", ""Coffee"", ""Dishes and silverware"", ""Freezer"", ""Refrigerator"", ""First aid kit"", ""Hair dryer"", ""Cooking basics"", ""Portable fans"", ""Lock on bedroom door"", ""Wifi"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Dining table"", ""Coffee maker"", ""Shared outdoor pool - available all year, open specific hours, lap pool"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Shower gel"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""City skyline view"", ""Hammock"", ""Paid parking lot off premises"", ""Long term stays allowed"", ""Blender"", ""Body soap"", ""Extra pillows and blankets"", ""BBQ grill"", ""Paid parking on premises"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Stove"", ""Smoke alarm"", ""Gym"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Outdoor furniture"", ""Wine glasses"", ""Conditioner"", ""Rice maker"", ""Kitchen"", ""Hot water kettle"", ""Baking sheet"", ""Room-darkening shades"", ""Shampoo"", ""Outdoor dining area""]",85.0,92,180,92.0,92.0,180.0,180.0,92.0,180.0,268,2025-09-28,247,93,0,4.87,4.92,4.78,0,1,55,1.0,0.0,14.3373440285205
1242205,3589987,within a few hours,0.7979322638146167,0.7049006010171058,0,5,1,1,Marine Parade,Central Region,1.30907,103.9018,Entire townhouse,Entire home/apt,6,4.5,4.5 baths,3.0,3.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Cooking basics"", ""Exterior security cameras on property"", ""Wifi"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Iron"", ""Children\u2019s books and toys"", ""Washer"", ""Hangers"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""TV with standard cable"", ""High chair"", ""Stove"", ""Essentials"", ""Kitchen"", ""Crib"", ""Shampoo""]",549.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,270,2025-09-28,8,95,0,4.75,4.88,4.63,0,1,27,4.5,0.0,14.3373440285205
1261443,2413412,within a few hours,0.89,0.67,0,182,1,1,Outram,Central Region,1.28458,103.84311,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Keypad"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Private living room"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""TV with standard cable"", ""Stove"", ""Essentials"", ""Self check-in"", ""Kitchen""]",76.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,2025-09-28,2,92,0,5.0,5.0,5.0,1,91,30,1.0,0.0,12.0
1363204,2413412,within a few hours,0.89,0.67,0,182,1,1,Outram,Central Region,1.28386,103.84238,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Private entrance"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Keypad"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""TV with standard cable"", ""Stove"", ""Essentials"", ""Self check-in"", ""Kitchen""]",66.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,2025-09-28,3,92,0,4.0,4.67,5.0,1,91,28,1.0,0.0,12.0
1495386,7993224,a few days or more,0.0,0.7049006010171058,0,2,1,1,Pasir Ris,East Region,1.37975,103.94375,Private room in earthen home,Private room,2,1.0,1 bath,1.0,1.0,"[""Private patio or balcony"", ""Dishes and silverware"", ""Freezer"", ""Gas stove"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Laundromat nearby"", ""Free street parking"", ""Air conditioning"", ""Mini fridge"", ""Iron"", ""Shower gel"", ""Drying rack for clothing"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""Body soap"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Shared beach access"", ""Ceiling fan"", ""Essentials"", ""Dedicated workspace"", ""Conditioner"", ""Kitchen"", ""Hot water kettle"", ""Rice maker"", ""Room-darkening shades"", ""Shampoo""]",58.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,365,2025-09-28,10,95,0,4.7,5.0,4.3,0,1,34,1.0,0.0,48.0
